project_id,project_name,project_type,location,client_type,contract_value,planned_start_date,planned_end_date,actual_start_date,actual_end_date,planned_duration_days,actual_duration_days,project_complexity,project_manager_id,project_status,delay_days,delay_flag
PRJ-0027,Commercial Development 027,Commercial,North Coast,International Contractor,10394316.56,2024-04-10,2025-01-14,2024-04-02,2025-01-15,279,288,MEDIUM,EMP-00051,ACTIVE,1,0
PRJ-0028,Mixed Use Development 028,Mixed Use,Cairo,Private Investor,11907595.3,2019-11-10,2021-12-30,2019-11-30,2021-12-28,781,759,LOW,EMP-01912,COMPLETED,-2,0
PRJ-0029,Hospital Development 029,Hospital,Giza,International Contractor,24626982.27,2018-05-29,2020-06-17,2018-05-18,2020-06-18,750,762,LOW,EMP-01498,COMPLETED,1,0
PRJ-0030,Industrial Development 030,Industrial,Cairo,International Contractor,10290756.77,2024-08-20,2026-10-14,2024-08-04,2026-10-18,785,805,MEDIUM,EMP-00036,ACTIVE,4,0
PRJ-0031,Infrastructure Development 031,Infrastructure,Cairo,Real Estate Developer,3949830.43,2020-03-04,2023-06-21,2020-02-23,2023-06-21,1204,1214,HIGH,EMP-01507,COMPLETED,0,0
PRJ-0032,Infrastructure Development 032,Infrastructure,Giza,Industrial Company,74317776.25,2023-03-11,2023-12-09,2023-02-18,2023-12-09,273,294,MEDIUM,EMP-00496,COMPLETED,0,0
PRJ-0033,Residential Development 033,Residential,Giza,International Contractor,617716026.56,2025-05-15,2028-05-26,2025-05-15,2028-09-29,1107,1233,HIGH,EMP-00134,ACTIVE,126,1
PRJ-0034,Educational Development 034,Educational,Alexandria,International Contractor,13265806.96,2022-06-25,2024-07-12,2022-06-10,2024-08-14,748,796,LOW,EMP-00308,COMPLETED,33,1
PRJ-0035,Mixed Use Development 035,Mixed Use,Cairo,Industrial Company,39503568.37,2024-11-11,2027-05-29,2024-11-16,2027-05-27,929,922,HIGH,EMP-01586,ACTIVE,-2,0
PRJ-0036,Mixed Use Development 036,Mixed Use,New Capital,Government,322282907.33,2019-05-15,2020-03-03,2019-06-12,2020-03-01,293,263,LOW,EMP-00099,COMPLETED,-2,0
PRJ-0037,Commercial Development 037,Commercial,New Cairo,International Contractor,63592074.25,2018-01-06,2019-05-08,2018-01-18,2019-07-26,487,554,LOW,EMP-00104,COMPLETED,79,1
PRJ-0038,Residential Development 038,Residential,Hurghada,Real Estate Developer,35638569.95,2022-11-07,2026-01-21,2022-11-10,2026-01-24,1171,1171,HIGH,EMP-00647,ACTIVE,3,0
PRJ-0039,Hospital Development 039,Hospital,Hurghada,International Contractor,19060901.16,2023-01-27,2025-02-07,2023-02-05,2025-02-13,742,739,MEDIUM,EMP-01209,ACTIVE,6,0
PRJ-0040,Residential Development 040,Residential,New Cairo,Real Estate Developer,17391198.05,2020-08-08,2022-01-25,2020-07-29,2022-01-28,535,548,MEDIUM,EMP-01898,COMPLETED,3,0
PRJ-0041,Infrastructure Development 041,Infrastructure,Hurghada,International Contractor,37471330.51,2026-02-13,2027-09-10,2026-02-24,2027-09-14,574,567,MEDIUM,EMP-01107,ACTIVE,4,0
PRJ-0042,Hospital Development 042,Hospital,North Coast,Private Investor,64979600.14,2018-12-03,2019-06-29,2018-12-19,2019-07-04,208,197,MEDIUM,EMP-00265,COMPLETED,5,0
PRJ-0043,Educational Development 043,Educational,6th of October,Private Investor,70227247.01,2021-12-20,2022-12-14,2021-12-23,2022-12-19,359,361,HIGH,EMP-00339,COMPLETED,5,0
PRJ-0044,Mixed Use Development 044,Mixed Use,New Cairo,Industrial Company,16810963.29,2025-12-24,2029-08-05,2025-12-29,2029-07-31,1320,1310,HIGH,EMP-00191,ACTIVE,-5,0
PRJ-0045,Hospital Development 045,Hospital,6th of October,Government,44400508.15,2021-07-09,2022-05-25,2021-07-18,2022-05-25,320,311,MEDIUM,EMP-01841,COMPLETED,0,0
PRJ-0046,Mixed Use Development 046,Mixed Use,New Capital,Industrial Company,13374982.93,2018-02-20,2020-07-11,2018-02-02,2020-09-03,872,944,MEDIUM,EMP-01844,COMPLETED,54,1
PRJ-0047,Mixed Use Development 047,Mixed Use,Alexandria,Private Investor,30489045.71,2024-03-28,2026-07-26,2024-04-06,2026-07-26,850,841,MEDIUM,EMP-00629,ACTIVE,0,0
PRJ-0048,Industrial Development 048,Industrial,Alexandria,International Contractor,15923678.99,2024-01-01,2025-07-25,2024-01-28,2025-07-24,571,543,VERY_HIGH,EMP-01899,ACTIVE,-1,0
PRJ-0049,Educational Development 049,Educational,New Cairo,Private Investor,24432531.38,2026-05-14,2028-04-27,2026-05-31,2028-04-26,714,696,MEDIUM,EMP-00237,ACTIVE,-1,0
PRJ-0050,Residential Development 050,Residential,Ain Sokhna,International Contractor,96120273.11,2017-04-23,2018-11-05,2017-04-29,2018-11-07,561,557,LOW,EMP-01446,COMPLETED,2,0
PRJ-0051,Mixed Use Development 051,Mixed Use,New Cairo,Real Estate Developer,10917348.75,2019-11-13,2020-05-20,2019-11-25,2020-05-20,189,177,MEDIUM,EMP-00222,COMPLETED,0,0
PRJ-0052,Industrial Development 052,Industrial,Hurghada,Government,38239737.12,2017-05-30,2019-11-16,2017-06-06,2020-01-04,900,942,MEDIUM,EMP-00213,COMPLETED,49,1
PRJ-0053,Residential Development 053,Residential,Giza,Industrial Company,76821930.6,2017-02-20,2018-04-11,2017-03-04,2018-05-18,415,440,HIGH,EMP-01822,COMPLETED,37,1
PRJ-0054,Mixed Use Development 054,Mixed Use,6th of October,International Contractor,2341691.01,2019-04-30,2021-08-14,2019-05-16,2021-08-09,837,816,MEDIUM,EMP-00241,COMPLETED,-5,0
PRJ-0055,Mixed Use Development 055,Mixed Use,Ain Sokhna,Private Investor,31557893.38,2018-03-10,2019-03-27,2018-03-13,2019-03-28,382,380,HIGH,EMP-01261,COMPLETED,1,0
PRJ-0056,Commercial Development 056,Commercial,Ain Sokhna,Industrial Company,13913058.02,2017-02-24,2018-04-29,2017-03-13,2018-04-26,429,409,HIGH,EMP-01499,COMPLETED,-3,0
PRJ-0057,Infrastructure Development 057,Infrastructure,New Capital,Government,54361640.49,2025-05-24,2026-10-08,2025-05-02,2026-11-02,502,549,HIGH,EMP-00753,ACTIVE,25,1
PRJ-0058,Educational Development 058,Educational,6th of October,Industrial Company,27986362.49,2022-06-08,2025-11-12,2022-06-18,2025-11-12,1253,1243,HIGH,EMP-00603,ACTIVE,0,0
PRJ-0059,Industrial Development 059,Industrial,6th of October,Industrial Company,103085023.98,2018-07-02,2021-05-21,2018-07-05,2021-05-17,1054,1047,HIGH,EMP-01828,COMPLETED,-4,0
PRJ-0060,Hospital Development 060,Hospital,Alexandria,Government,22681202.19,2019-11-23,2020-06-14,2019-11-16,2020-06-13,204,210,LOW,EMP-01270,COMPLETED,-1,0
PRJ-0061,Educational Development 061,Educational,New Cairo,Government,3038931.6,2022-09-17,2024-02-14,2022-09-16,2024-02-12,515,514,MEDIUM,EMP-00955,COMPLETED,-2,0
PRJ-0062,Hospital Development 062,Hospital,Alexandria,Real Estate Developer,34199050.98,2023-08-31,2025-06-24,2023-08-31,2025-06-25,663,664,MEDIUM,EMP-00633,ACTIVE,1,0
PRJ-0063,Residential Development 063,Residential,Ain Sokhna,Real Estate Developer,24308558.85,2021-12-30,2023-09-21,2022-01-07,2023-09-19,630,620,MEDIUM,EMP-01117,COMPLETED,-2,0
PRJ-0064,Educational Development 064,Educational,Alexandria,International Contractor,20370379.51,2024-08-05,2025-09-09,2024-08-16,2025-09-08,400,388,MEDIUM,EMP-00989,ACTIVE,-1,0
PRJ-0065,Commercial Development 065,Commercial,Alexandria,Government,48788424.7,2017-09-27,2018-08-27,2017-10-08,2018-11-14,334,402,HIGH,EMP-00562,COMPLETED,79,1
PRJ-0066,Educational Development 066,Educational,Cairo,Industrial Company,132267172.15,2023-09-25,2027-01-08,2023-09-20,2027-07-05,1201,1384,HIGH,EMP-00308,ACTIVE,178,1
PRJ-0067,Industrial Development 067,Industrial,Giza,Private Investor,25119346.24,2025-10-15,2028-08-20,2025-10-18,2028-10-12,1040,1090,HIGH,EMP-01282,ACTIVE,53,1
PRJ-0068,Infrastructure Development 068,Infrastructure,Alexandria,Industrial Company,17395191.35,2018-11-27,2023-05-28,2018-12-22,2023-09-10,1643,1723,VERY_HIGH,EMP-01679,COMPLETED,105,1
PRJ-0069,Industrial Development 069,Industrial,Cairo,International Contractor,115492716.08,2025-09-21,2027-11-29,2025-09-12,2027-11-25,799,804,MEDIUM,EMP-01882,ACTIVE,-4,0
PRJ-0070,Commercial Development 070,Commercial,6th of October,Real Estate Developer,14093562.38,2022-07-27,2025-04-18,2022-06-27,2025-04-25,996,1033,MEDIUM,EMP-01709,ACTIVE,7,0
PRJ-0071,Infrastructure Development 071,Infrastructure,6th of October,Private Investor,28840389.19,2017-07-21,2020-03-03,2017-07-11,2020-03-07,956,970,HIGH,EMP-00677,COMPLETED,4,0
PRJ-0072,Educational Development 072,Educational,Ain Sokhna,Real Estate Developer,258794673.63,2020-07-06,2022-09-19,2020-07-06,2022-09-19,805,805,HIGH,EMP-00241,COMPLETED,0,0
PRJ-0073,Mixed Use Development 073,Mixed Use,New Cairo,Real Estate Developer,14450346.63,2017-12-30,2019-08-25,2018-01-02,2019-08-26,603,601,MEDIUM,EMP-01262,COMPLETED,1,0
PRJ-0074,Industrial Development 074,Industrial,Alexandria,Government,16472586.64,2022-10-09,2023-10-09,2022-10-22,2023-10-14,365,357,LOW,EMP-00285,COMPLETED,5,0
PRJ-0075,Infrastructure Development 075,Infrastructure,6th of October,Government,9823668.78,2023-01-07,2024-09-09,2022-12-22,2024-09-13,611,631,MEDIUM,EMP-00956,COMPLETED,4,0
PRJ-0076,Educational Development 076,Educational,North Coast,Private Investor,10639931.21,2022-12-02,2026-06-12,2022-11-21,2026-11-04,1288,1444,HIGH,EMP-01565,ACTIVE,145,1
PRJ-0077,Infrastructure Development 077,Infrastructure,New Capital,International Contractor,13517282.01,2018-06-18,2022-03-09,2018-07-20,2022-03-07,1360,1326,VERY_HIGH,EMP-01275,COMPLETED,-2,0
PRJ-0078,Industrial Development 078,Industrial,Cairo,Government,12651038.22,2021-08-25,2023-10-09,2021-09-11,2023-10-07,775,756,LOW,EMP-01956,COMPLETED,-2,0
PRJ-0079,Residential Development 079,Residential,New Cairo,Government,10316642.36,2022-02-17,2023-12-13,2022-03-02,2023-12-16,664,654,LOW,EMP-00477,COMPLETED,3,0
PRJ-0080,Commercial Development 080,Commercial,Cairo,Real Estate Developer,6869132.6,2023-05-31,2025-06-23,2023-05-15,2025-06-18,754,765,LOW,EMP-01731,ACTIVE,-5,0
PRJ-0081,Mixed Use Development 081,Mixed Use,North Coast,Real Estate Developer,10458019.38,2017-12-20,2019-10-19,2017-12-19,2019-12-08,668,719,LOW,EMP-01244,COMPLETED,50,1
PRJ-0082,Hospital Development 082,Hospital,Cairo,Private Investor,132105958.76,2019-06-02,2021-05-14,2019-05-02,2021-11-19,712,932,HIGH,EMP-00476,COMPLETED,189,1
PRJ-0083,Infrastructure Development 083,Infrastructure,6th of October,Industrial Company,19976680.16,2025-03-23,2026-08-10,2025-04-05,2026-08-07,505,489,MEDIUM,EMP-00900,ACTIVE,-3,0
PRJ-0084,Mixed Use Development 084,Mixed Use,New Cairo,International Contractor,54505611.55,2020-11-15,2025-02-10,2020-11-17,2025-02-07,1548,1543,VERY_HIGH,EMP-01996,ACTIVE,-3,0
PRJ-0085,Mixed Use Development 085,Mixed Use,North Coast,Private Investor,16346691.02,2019-01-31,2020-11-29,2019-02-02,2020-11-29,668,666,MEDIUM,EMP-00165,COMPLETED,0,0
PRJ-0086,Commercial Development 086,Commercial,New Cairo,Real Estate Developer,8103520.87,2023-01-09,2025-02-22,2023-02-01,2025-02-26,775,756,LOW,EMP-01919,ACTIVE,4,0
PRJ-0087,Educational Development 087,Educational,North Coast,Industrial Company,22262456.0,2020-09-01,2022-05-17,2020-08-13,2022-05-14,623,639,MEDIUM,EMP-00613,COMPLETED,-3,0
PRJ-0088,Hospital Development 088,Hospital,Hurghada,Private Investor,31717202.44,2019-11-04,2020-05-22,2019-10-21,2020-05-18,200,210,MEDIUM,EMP-00311,COMPLETED,-4,0
PRJ-0089,Industrial Development 089,Industrial,Ain Sokhna,Government,35594551.67,2022-07-22,2023-09-07,2022-08-08,2023-09-10,412,398,MEDIUM,EMP-01900,COMPLETED,3,0
PRJ-0090,Educational Development 090,Educational,6th of October,Private Investor,20493683.35,2024-06-23,2026-01-01,2024-06-21,2025-12-30,557,557,HIGH,EMP-00204,ACTIVE,-2,0
PRJ-0091,Industrial Development 091,Industrial,6th of October,Real Estate Developer,18891799.56,2018-04-30,2020-12-18,2018-04-02,2021-01-08,963,1012,MEDIUM,EMP-00072,COMPLETED,21,1
PRJ-0092,Infrastructure Development 092,Infrastructure,Cairo,International Contractor,73512490.73,2017-06-14,2018-12-19,2017-06-04,2018-12-14,553,558,MEDIUM,EMP-01556,COMPLETED,-5,0
PRJ-0093,Commercial Development 093,Commercial,Hurghada,Private Investor,42226095.27,2020-09-28,2022-05-03,2020-10-12,2022-07-10,582,636,MEDIUM,EMP-00326,COMPLETED,68,1
PRJ-0094,Commercial Development 094,Commercial,Cairo,Industrial Company,5058204.07,2021-02-04,2022-07-05,2021-02-04,2022-07-05,516,516,MEDIUM,EMP-00521,COMPLETED,0,0
PRJ-0095,Residential Development 095,Residential,Giza,Industrial Company,9598463.18,2020-03-01,2021-03-14,2020-03-10,2021-03-11,378,366,MEDIUM,EMP-00966,COMPLETED,-3,0
PRJ-0096,Commercial Development 096,Commercial,New Capital,Industrial Company,35846144.27,2017-06-14,2020-01-13,2017-06-16,2020-01-08,943,936,HIGH,EMP-00019,COMPLETED,-5,0
PRJ-0097,Educational Development 097,Educational,Alexandria,International Contractor,2042301.45,2021-07-07,2021-12-18,2021-07-29,2021-12-15,164,139,LOW,EMP-01375,COMPLETED,-3,0
PRJ-0098,Mixed Use Development 098,Mixed Use,New Capital,Government,204089005.69,2018-07-19,2020-09-03,2018-07-19,2020-09-01,777,775,HIGH,EMP-00509,COMPLETED,-2,0
PRJ-0099,Residential Development 099,Residential,Hurghada,Industrial Company,201568662.61,2017-10-03,2019-11-14,2017-09-25,2020-01-18,772,845,HIGH,EMP-00724,COMPLETED,65,1
PRJ-0100,Industrial Development 100,Industrial,Alexandria,Industrial Company,45667903.71,2025-03-08,2026-08-09,2025-02-15,2026-09-04,519,566,MEDIUM,EMP-00060,ACTIVE,26,1
PRJ-0101,Mixed Use Development 101,Mixed Use,North Coast,Real Estate Developer,31177692.62,2018-05-28,2020-07-21,2018-06-02,2020-08-05,785,795,MEDIUM,EMP-01188,COMPLETED,15,1
PRJ-0102,Mixed Use Development 102,Mixed Use,New Capital,Government,17843090.15,2022-04-03,2024-06-05,2022-04-21,2024-06-10,794,781,LOW,EMP-01146,COMPLETED,5,0
PRJ-0103,Educational Development 103,Educational,Cairo,International Contractor,8183027.93,2019-08-06,2020-06-30,2019-07-31,2020-06-26,329,331,MEDIUM,EMP-00590,COMPLETED,-4,0
PRJ-0104,Industrial Development 104,Industrial,6th of October,International Contractor,52302662.43,2018-06-26,2020-05-18,2018-07-16,2020-05-15,692,669,LOW,EMP-01240,COMPLETED,-3,0
PRJ-0105,Infrastructure Development 105,Infrastructure,Alexandria,Industrial Company,35295994.12,2023-11-22,2025-07-30,2023-12-13,2025-08-01,616,597,MEDIUM,EMP-01967,ACTIVE,2,0
PRJ-0106,Residential Development 106,Residential,New Cairo,International Contractor,10842263.48,2020-05-27,2021-09-19,2020-05-25,2021-11-10,480,534,LOW,EMP-01041,COMPLETED,52,1
PRJ-0107,Residential Development 107,Residential,North Coast,Industrial Company,28363474.39,2023-06-23,2025-01-16,2023-06-11,2025-01-21,573,590,VERY_HIGH,EMP-00400,ACTIVE,5,0
PRJ-0108,Infrastructure Development 108,Infrastructure,New Cairo,Industrial Company,2335269.37,2022-01-26,2024-05-19,2022-02-23,2024-06-18,844,846,HIGH,EMP-01566,COMPLETED,30,1
PRJ-0109,Educational Development 109,Educational,Ain Sokhna,Industrial Company,151695635.83,2021-04-30,2022-01-16,2021-06-02,2022-01-11,261,223,MEDIUM,EMP-01610,COMPLETED,-5,0
PRJ-0110,Mixed Use Development 110,Mixed Use,Hurghada,International Contractor,34812061.26,2022-10-12,2024-01-20,2022-10-29,2024-01-15,465,443,MEDIUM,EMP-01204,COMPLETED,-5,0
PRJ-0111,Infrastructure Development 111,Infrastructure,Hurghada,Industrial Company,19934092.93,2020-06-11,2021-09-04,2020-06-16,2021-09-03,450,444,LOW,EMP-00616,COMPLETED,-1,0
PRJ-0112,Infrastructure Development 112,Infrastructure,Cairo,Real Estate Developer,17189932.77,2017-12-09,2019-09-19,2017-12-13,2019-09-17,649,643,VERY_HIGH,EMP-00557,COMPLETED,-2,0
PRJ-0113,Hospital Development 113,Hospital,Alexandria,International Contractor,13458559.63,2021-04-26,2022-03-24,2021-05-05,2022-03-21,332,320,MEDIUM,EMP-00180,COMPLETED,-3,0
PRJ-0114,Educational Development 114,Educational,Giza,Private Investor,3407224.4,2019-05-26,2020-05-31,2019-05-27,2020-05-29,371,368,MEDIUM,EMP-01754,COMPLETED,-2,0
PRJ-0115,Mixed Use Development 115,Mixed Use,Hurghada,Government,14216051.81,2022-08-03,2027-09-21,2022-08-12,2027-10-20,1875,1895,VERY_HIGH,EMP-00144,ACTIVE,29,1
PRJ-0116,Mixed Use Development 116,Mixed Use,Ain Sokhna,Private Investor,16056292.27,2017-10-11,2019-08-27,2017-10-11,2019-08-24,685,682,MEDIUM,EMP-00750,COMPLETED,-3,0
PRJ-0117,Infrastructure Development 117,Infrastructure,New Capital,Private Investor,5200981.57,2020-11-04,2023-03-18,2020-11-10,2023-03-13,864,853,MEDIUM,EMP-00414,COMPLETED,-5,0
PRJ-0118,Infrastructure Development 118,Infrastructure,Hurghada,Industrial Company,9430463.37,2020-08-27,2021-09-20,2020-08-16,2021-11-14,389,455,HIGH,EMP-00530,COMPLETED,55,1
PRJ-0119,Residential Development 119,Residential,Giza,International Contractor,142204112.18,2022-01-29,2024-12-30,2022-02-23,2025-01-31,1066,1073,HIGH,EMP-01062,ACTIVE,32,1
PRJ-0120,Commercial Development 120,Commercial,Ain Sokhna,Government,158644257.64,2021-04-15,2023-07-11,2021-04-26,2023-07-11,817,806,MEDIUM,EMP-00723,COMPLETED,0,0
PRJ-0121,Commercial Development 121,Commercial,New Cairo,Government,147179195.85,2026-01-18,2030-07-17,2026-01-27,2030-07-22,1641,1637,VERY_HIGH,EMP-00416,ACTIVE,5,0
PRJ-0122,Residential Development 122,Residential,Giza,International Contractor,23877954.41,2017-01-06,2017-06-18,2017-01-18,2017-06-16,163,149,LOW,EMP-01942,COMPLETED,-2,0
PRJ-0123,Industrial Development 123,Industrial,New Capital,Industrial Company,1031229.23,2024-10-08,2025-06-01,2024-08-20,2025-06-05,236,289,LOW,EMP-00306,ACTIVE,4,0
PRJ-0124,Mixed Use Development 124,Mixed Use,Hurghada,Private Investor,76087719.55,2017-07-17,2018-07-19,2017-08-24,2018-07-22,367,332,LOW,EMP-01275,COMPLETED,3,0
PRJ-0125,Mixed Use Development 125,Mixed Use,Ain Sokhna,Real Estate Developer,16844081.48,2023-01-25,2025-03-23,2023-01-29,2025-03-21,788,782,VERY_HIGH,EMP-00562,ACTIVE,-2,0
PRJ-0126,Educational Development 126,Educational,Cairo,Real Estate Developer,14563962.3,2024-06-23,2025-09-10,2024-07-01,2025-09-11,444,437,LOW,EMP-01296,ACTIVE,1,0
PRJ-0127,Industrial Development 127,Industrial,New Cairo,Private Investor,15993023.08,2022-09-11,2024-08-30,2022-09-22,2024-08-30,719,708,MEDIUM,EMP-00686,COMPLETED,0,0
PRJ-0128,Hospital Development 128,Hospital,Alexandria,Government,63620971.87,2026-05-19,2029-03-14,2026-05-28,2029-03-13,1030,1020,HIGH,EMP-00556,ACTIVE,-1,0
PRJ-0129,Educational Development 129,Educational,New Capital,Industrial Company,80762866.6,2025-12-30,2027-10-27,2026-01-30,2027-10-26,666,634,HIGH,EMP-00807,ACTIVE,-1,0
PRJ-0130,Educational Development 130,Educational,6th of October,Government,27529375.37,2020-02-20,2022-03-31,2020-02-24,2022-03-30,770,765,MEDIUM,EMP-01394,COMPLETED,-1,0
PRJ-0131,Industrial Development 131,Industrial,New Capital,Industrial Company,27154855.43,2023-05-04,2024-04-24,2023-05-04,2024-04-22,356,354,LOW,EMP-00040,COMPLETED,-2,0
PRJ-0132,Educational Development 132,Educational,Giza,International Contractor,6461531.32,2024-02-18,2025-06-10,2024-02-08,2025-07-13,478,521,HIGH,EMP-00494,ACTIVE,33,1
PRJ-0133,Residential Development 133,Residential,Giza,Real Estate Developer,69142651.64,2026-02-13,2029-12-06,2026-01-18,2029-12-06,1392,1418,VERY_HIGH,EMP-01165,ACTIVE,0,0
PRJ-0134,Infrastructure Development 134,Infrastructure,North Coast,Real Estate Developer,96206214.31,2026-04-08,2029-03-18,2026-04-16,2029-03-18,1075,1067,HIGH,EMP-00047,ACTIVE,0,0
PRJ-0135,Hospital Development 135,Hospital,New Cairo,Private Investor,19359637.02,2018-09-04,2022-02-10,2018-09-19,2022-05-02,1255,1321,HIGH,EMP-01872,COMPLETED,81,1
PRJ-0136,Hospital Development 136,Hospital,6th of October,International Contractor,14109197.15,2026-01-23,2027-04-21,2026-01-14,2027-04-26,453,467,MEDIUM,EMP-00042,ACTIVE,5,0
PRJ-0137,Mixed Use Development 137,Mixed Use,Hurghada,Private Investor,389978583.58,2021-05-02,2023-12-28,2021-05-29,2023-12-29,970,944,HIGH,EMP-00579,COMPLETED,1,0
PRJ-0138,Industrial Development 138,Industrial,Giza,Industrial Company,103393244.21,2023-03-30,2025-01-18,2023-04-20,2025-02-26,660,678,MEDIUM,EMP-01633,ACTIVE,39,1
PRJ-0139,Hospital Development 139,Hospital,Ain Sokhna,Government,15870470.67,2022-09-29,2024-08-23,2022-09-30,2024-08-19,694,689,LOW,EMP-00573,COMPLETED,-4,0
PRJ-0140,Residential Development 140,Residential,Hurghada,Government,400895302.93,2025-11-09,2028-04-26,2025-12-05,2028-06-01,899,909,MEDIUM,EMP-00499,ACTIVE,36,1
PRJ-0141,Residential Development 141,Residential,New Capital,International Contractor,8354931.96,2024-11-26,2027-10-28,2024-12-10,2027-10-28,1066,1052,HIGH,EMP-01105,ACTIVE,0,0
PRJ-0142,Residential Development 142,Residential,New Capital,Real Estate Developer,17547416.69,2017-03-24,2020-01-26,2017-03-27,2020-03-25,1038,1094,HIGH,EMP-01999,COMPLETED,59,1
