material_id,material_code,material_name,category,unit,standard_price,criticality,lead_time_days,minimum_order_quantity
MAT-0040,MAT-CODE-00040,Fire Alarm Panel,Fire Fighting,SET,23839.31,HIGH,76,89
MAT-0041,MAT-CODE-00041,Lighting Fixture,Electrical,KG,6120.4,MEDIUM,30,34
MAT-0042,MAT-CODE-00042,Valve,Plumbing,METER,22828.29,LOW,36,26
MAT-0043,MAT-CODE-00043,Ventilation Fan,HVAC,UNIT,27547.46,LOW,13,89
MAT-0044,MAT-CODE-00044,Cooling Tower,HVAC,UNIT,1624.5,MEDIUM,27,31
MAT-0045,MAT-CODE-00045,Blocks,Civil,KG,4173.7,CRITICAL,46,93
MAT-0046,MAT-CODE-00046,Air Handling Unit,HVAC,METER,9357.55,LOW,87,13
MAT-0047,MAT-CODE-00047,Circuit Breaker,Electrical,TON,2042.33,HIGH,53,86
MAT-0048,MAT-CODE-00048,Concrete,Civil,TON,5067.65,HIGH,40,13
MAT-0049,MAT-CODE-00049,Fire Alarm Panel,Fire Fighting,SET,13396.62,MEDIUM,29,51
MAT-0050,MAT-CODE-00050,Pipe,Plumbing,SET,2450.52,LOW,46,3
MAT-0051,MAT-CODE-00051,Fire Extinguisher,Fire Fighting,SET,5380.25,MEDIUM,12,75
MAT-0052,MAT-CODE-00052,Fire Fighting Pump,Fire Fighting,SET,2093.84,MEDIUM,67,80
MAT-0053,MAT-CODE-00053,Fire Extinguisher,Fire Fighting,SET,16413.4,HIGH,4,29
MAT-0054,MAT-CODE-00054,Rebar,Civil,TON,4176.94,LOW,69,60
MAT-0055,MAT-CODE-00055,Waterproofing Material,Civil,METER,2044.97,MEDIUM,38,12
MAT-0056,MAT-CODE-00056,Drainage Fixture,Plumbing,SET,41326.0,MEDIUM,26,24
MAT-0057,MAT-CODE-00057,Blocks,Civil,SET,1522.99,HIGH,12,48
MAT-0058,MAT-CODE-00058,Fire Hose Reel,Fire Fighting,UNIT,1831.96,HIGH,83,15
MAT-0059,MAT-CODE-00059,Waterproofing Material,Civil,UNIT,4299.17,LOW,27,46
MAT-0060,MAT-CODE-00060,Chiller,HVAC,UNIT,6199.17,LOW,75,6
MAT-0061,MAT-CODE-00061,Fire Extinguisher,Fire Fighting,SET,6986.65,HIGH,37,98
MAT-0062,MAT-CODE-00062,Sprinkler,Fire Fighting,SET,6744.58,HIGH,45,18
MAT-0063,MAT-CODE-00063,Rebar,Civil,TON,7228.93,LOW,52,28
MAT-0064,MAT-CODE-00064,Air Handling Unit,HVAC,METER,1615.8,MEDIUM,11,83
MAT-0065,MAT-CODE-00065,Air Handling Unit,HVAC,TON,12424.66,CRITICAL,11,80
MAT-0066,MAT-CODE-00066,Rebar,Civil,SET,6397.85,HIGH,57,64
MAT-0067,MAT-CODE-00067,Water Tank,Plumbing,SET,5724.8,LOW,49,96
MAT-0068,MAT-CODE-00068,Waterproofing Material,Civil,KG,5863.56,MEDIUM,24,27
MAT-0069,MAT-CODE-00069,Air Handling Unit,HVAC,UNIT,27649.15,MEDIUM,39,34
MAT-0070,MAT-CODE-00070,Circuit Breaker,Electrical,METER,4622.43,MEDIUM,18,68
MAT-0071,MAT-CODE-00071,Cable,Electrical,TON,27786.67,CRITICAL,82,77
MAT-0072,MAT-CODE-00072,Circuit Breaker,Electrical,KG,7623.52,HIGH,20,80
MAT-0073,MAT-CODE-00073,Fire Extinguisher,Fire Fighting,UNIT,13221.29,MEDIUM,28,4
MAT-0074,MAT-CODE-00074,Circuit Breaker,Electrical,TON,5273.23,HIGH,85,61
MAT-0075,MAT-CODE-00075,Water Pump,Plumbing,KG,1020.41,HIGH,10,72
MAT-0076,MAT-CODE-00076,Ventilation Fan,HVAC,SET,22275.18,HIGH,41,78
MAT-0077,MAT-CODE-00077,Blocks,Civil,UNIT,1455.99,CRITICAL,25,5
MAT-0078,MAT-CODE-00078,Chiller,HVAC,TON,15604.46,LOW,3,57
MAT-0079,MAT-CODE-00079,Fire Extinguisher,Fire Fighting,TON,7434.53,MEDIUM,69,52
MAT-0080,MAT-CODE-00080,Fire Hose Reel,Fire Fighting,KG,8874.23,CRITICAL,71,12
MAT-0081,MAT-CODE-00081,Water Pump,Plumbing,TON,2776.81,HIGH,39,21
MAT-0082,MAT-CODE-00082,Water Tank,Plumbing,METER,6213.01,HIGH,58,27
MAT-0083,MAT-CODE-00083,Pipe,Plumbing,METER,7211.22,MEDIUM,16,9
MAT-0084,MAT-CODE-00084,Structural Steel,Civil,KG,21621.76,MEDIUM,18,55
MAT-0085,MAT-CODE-00085,Waterproofing Material,Civil,TON,4971.25,HIGH,44,65
MAT-0086,MAT-CODE-00086,Concrete,Civil,TON,8553.68,CRITICAL,26,85
MAT-0087,MAT-CODE-00087,Blocks,Civil,KG,3109.76,LOW,54,54
MAT-0088,MAT-CODE-00088,Air Handling Unit,HVAC,KG,1405.79,HIGH,87,46
MAT-0089,MAT-CODE-00089,Circuit Breaker,Electrical,KG,6478.69,MEDIUM,82,54
MAT-0090,MAT-CODE-00090,Fan Coil Unit,HVAC,SET,3066.29,HIGH,70,83
MAT-0091,MAT-CODE-00091,Air Handling Unit,HVAC,UNIT,5643.4,CRITICAL,60,62
MAT-0092,MAT-CODE-00092,Cooling Tower,HVAC,SET,2429.22,LOW,42,15
MAT-0093,MAT-CODE-00093,Blocks,Civil,UNIT,8276.43,LOW,82,91
MAT-0094,MAT-CODE-00094,Air Handling Unit,HVAC,UNIT,669.77,LOW,88,80
MAT-0095,MAT-CODE-00095,Rebar,Civil,METER,10398.68,HIGH,7,96
MAT-0096,MAT-CODE-00096,Concrete,Civil,TON,18540.01,HIGH,41,4
MAT-0097,MAT-CODE-00097,Fire Hose Reel,Fire Fighting,TON,19026.46,LOW,46,55
MAT-0098,MAT-CODE-00098,Water Pump,Plumbing,SET,1118.19,LOW,7,20
MAT-0099,MAT-CODE-00099,Fan Coil Unit,HVAC,KG,1233.76,HIGH,88,51
MAT-0100,MAT-CODE-00100,Air Handling Unit,HVAC,TON,4310.95,LOW,42,71
MAT-0101,MAT-CODE-00101,Fire Fighting Pump,Fire Fighting,TON,1686.23,LOW,18,59
MAT-0102,MAT-CODE-00102,Fire Extinguisher,Fire Fighting,TON,6827.15,MEDIUM,41,15
MAT-0103,MAT-CODE-00103,Lighting Fixture,Electrical,KG,14288.67,MEDIUM,53,26
MAT-0104,MAT-CODE-00104,Valve,Plumbing,SET,4310.73,LOW,63,40
MAT-0105,MAT-CODE-00105,Structural Steel,Civil,SET,5768.63,LOW,14,10
MAT-0106,MAT-CODE-00106,Transformer,Electrical,KG,4789.29,MEDIUM,87,41
MAT-0107,MAT-CODE-00107,Chiller,HVAC,SET,1607.79,LOW,54,92
MAT-0108,MAT-CODE-00108,Fan Coil Unit,HVAC,KG,14853.54,MEDIUM,11,57
MAT-0109,MAT-CODE-00109,Circuit Breaker,Electrical,KG,5915.47,HIGH,59,62
MAT-0110,MAT-CODE-00110,Cable,Electrical,TON,1568.79,MEDIUM,49,62
MAT-0111,MAT-CODE-00111,Fire Hose Reel,Fire Fighting,SET,5385.79,MEDIUM,67,13
MAT-0112,MAT-CODE-00112,Waterproofing Material,Civil,KG,2254.13,MEDIUM,24,32
MAT-0113,MAT-CODE-00113,Fire Alarm Panel,Fire Fighting,UNIT,9562.32,MEDIUM,13,86
MAT-0114,MAT-CODE-00114,Waterproofing Material,Civil,UNIT,7738.52,LOW,45,18
MAT-0115,MAT-CODE-00115,Pipe,Plumbing,SET,671.28,HIGH,4,70
MAT-0116,MAT-CODE-00116,Structural Steel,Civil,METER,2393.52,LOW,61,12
MAT-0117,MAT-CODE-00117,Fire Hose Reel,Fire Fighting,UNIT,7592.26,CRITICAL,89,43
MAT-0118,MAT-CODE-00118,Transformer,Electrical,TON,3650.71,HIGH,83,64
MAT-0119,MAT-CODE-00119,Distribution Board,Electrical,TON,9588.56,LOW,48,71
MAT-0120,MAT-CODE-00120,Chiller,HVAC,SET,1862.83,CRITICAL,20,84
MAT-0121,MAT-CODE-00121,Waterproofing Material,Civil,KG,3157.27,LOW,41,33
MAT-0122,MAT-CODE-00122,Ventilation Fan,HVAC,TON,23499.11,MEDIUM,82,15
MAT-0123,MAT-CODE-00123,Distribution Board,Electrical,SET,1026.84,CRITICAL,6,20
MAT-0124,MAT-CODE-00124,Distribution Board,Electrical,KG,448.42,MEDIUM,4,9
MAT-0125,MAT-CODE-00125,Cable,Electrical,SET,4108.34,HIGH,58,41
MAT-0126,MAT-CODE-00126,Water Tank,Plumbing,TON,1792.67,LOW,67,54
MAT-0127,MAT-CODE-00127,Rebar,Civil,METER,6610.52,HIGH,44,69
MAT-0128,MAT-CODE-00128,Rebar,Civil,KG,2313.4,CRITICAL,13,85
MAT-0129,MAT-CODE-00129,Cable,Electrical,SET,2020.71,MEDIUM,49,3
MAT-0130,MAT-CODE-00130,Lighting Fixture,Electrical,SET,2285.78,MEDIUM,3,34
MAT-0131,MAT-CODE-00131,Distribution Board,Electrical,TON,8505.16,LOW,83,42
MAT-0132,MAT-CODE-00132,Distribution Board,Electrical,KG,6387.1,LOW,17,70
MAT-0133,MAT-CODE-00133,Sprinkler,Fire Fighting,SET,17119.1,CRITICAL,56,98
MAT-0134,MAT-CODE-00134,Water Tank,Plumbing,SET,1546.35,HIGH,57,78
MAT-0135,MAT-CODE-00135,Fire Alarm Panel,Fire Fighting,KG,1515.33,LOW,66,65
MAT-0136,MAT-CODE-00136,Fire Alarm Panel,Fire Fighting,TON,1447.55,CRITICAL,16,29
MAT-0137,MAT-CODE-00137,Blocks,Civil,TON,942.22,HIGH,33,30
MAT-0138,MAT-CODE-00138,Chiller,HVAC,TON,11076.72,MEDIUM,77,47
MAT-0139,MAT-CODE-00139,Lighting Fixture,Electrical,UNIT,17578.77,MEDIUM,72,22
MAT-0140,MAT-CODE-00140,Fire Extinguisher,Fire Fighting,SET,10539.93,CRITICAL,23,4
MAT-0141,MAT-CODE-00141,Fan Coil Unit,HVAC,METER,6218.45,LOW,12,76
MAT-0142,MAT-CODE-00142,Water Tank,Plumbing,TON,1362.89,HIGH,37,80
MAT-0143,MAT-CODE-00143,Distribution Board,Electrical,UNIT,3163.23,LOW,57,44
MAT-0144,MAT-CODE-00144,Ventilation Fan,HVAC,KG,7872.54,HIGH,69,40
MAT-0145,MAT-CODE-00145,Drainage Fixture,Plumbing,METER,440.2,HIGH,23,52
MAT-0146,MAT-CODE-00146,Transformer,Electrical,SET,708.51,LOW,42,40
MAT-0147,MAT-CODE-00147,Fan Coil Unit,HVAC,SET,8774.11,HIGH,19,67
MAT-0148,MAT-CODE-00148,Circuit Breaker,Electrical,TON,38280.08,HIGH,58,30
MAT-0149,MAT-CODE-00149,Valve,Plumbing,UNIT,870.73,LOW,53,6
MAT-0150,MAT-CODE-00150,Circuit Breaker,Electrical,SET,4129.15,MEDIUM,11,37
MAT-0151,MAT-CODE-00151,Air Handling Unit,HVAC,KG,2061.01,LOW,4,96
MAT-0152,MAT-CODE-00152,Drainage Fixture,Plumbing,METER,905.09,MEDIUM,86,75
MAT-0153,MAT-CODE-00153,Fire Extinguisher,Fire Fighting,METER,892.79,LOW,81,56
MAT-0154,MAT-CODE-00154,Lighting Fixture,Electrical,SET,378.14,MEDIUM,21,59
MAT-0155,MAT-CODE-00155,Water Tank,Plumbing,SET,11336.78,LOW,23,18
MAT-0156,MAT-CODE-00156,Fan Coil Unit,HVAC,SET,7481.5,LOW,24,79
MAT-0157,MAT-CODE-00157,Sprinkler,Fire Fighting,SET,17183.85,MEDIUM,44,59
MAT-0158,MAT-CODE-00158,Pipe,Plumbing,SET,3179.86,CRITICAL,43,19
MAT-0159,MAT-CODE-00159,Chiller,HVAC,KG,3213.85,LOW,59,78
MAT-0160,MAT-CODE-00160,Fire Alarm Panel,Fire Fighting,KG,517.09,LOW,67,11
MAT-0161,MAT-CODE-00161,Distribution Board,Electrical,KG,1968.14,LOW,8,27
MAT-0162,MAT-CODE-00162,Sprinkler,Fire Fighting,METER,1753.18,LOW,58,39
MAT-0163,MAT-CODE-00163,Water Pump,Plumbing,KG,8591.67,HIGH,21,49
MAT-0164,MAT-CODE-00164,Cable,Electrical,KG,9913.61,LOW,39,86
MAT-0165,MAT-CODE-00165,Air Handling Unit,HVAC,METER,1029.18,MEDIUM,45,41
MAT-0166,MAT-CODE-00166,Fire Extinguisher,Fire Fighting,TON,4464.09,HIGH,22,32
MAT-0167,MAT-CODE-00167,Fire Hose Reel,Fire Fighting,SET,21187.76,MEDIUM,62,74
MAT-0168,MAT-CODE-00168,Cable,Electrical,SET,1604.33,LOW,78,71
MAT-0169,MAT-CODE-00169,Air Handling Unit,HVAC,METER,6490.82,LOW,15,9
MAT-0170,MAT-CODE-00170,Ventilation Fan,HVAC,UNIT,972.75,LOW,64,62
MAT-0171,MAT-CODE-00171,Fire Hose Reel,Fire Fighting,METER,765.22,MEDIUM,54,49
MAT-0172,MAT-CODE-00172,Fan Coil Unit,HVAC,SET,8236.23,MEDIUM,81,77
MAT-0173,MAT-CODE-00173,Waterproofing Material,Civil,METER,1781.0,LOW,82,96
MAT-0174,MAT-CODE-00174,Drainage Fixture,Plumbing,SET,1956.96,MEDIUM,15,32
MAT-0175,MAT-CODE-00175,Sprinkler,Fire Fighting,METER,9277.72,MEDIUM,21,63
MAT-0176,MAT-CODE-00176,Lighting Fixture,Electrical,UNIT,825.83,LOW,36,2
MAT-0177,MAT-CODE-00177,Water Pump,Plumbing,SET,27694.67,HIGH,64,82
MAT-0178,MAT-CODE-00178,Distribution Board,Electrical,SET,4974.37,MEDIUM,70,15
MAT-0179,MAT-CODE-00179,Water Tank,Plumbing,TON,1335.88,LOW,47,27
MAT-0180,MAT-CODE-00180,Ventilation Fan,HVAC,UNIT,12018.63,CRITICAL,36,13
MAT-0181,MAT-CODE-00181,Fire Alarm Panel,Fire Fighting,KG,1664.99,HIGH,49,19
MAT-0182,MAT-CODE-00182,Transformer,Electrical,UNIT,8194.53,MEDIUM,32,66
MAT-0183,MAT-CODE-00183,Waterproofing Material,Civil,UNIT,14174.84,LOW,54,84
MAT-0184,MAT-CODE-00184,Waterproofing Material,Civil,METER,1662.87,MEDIUM,48,40
MAT-0185,MAT-CODE-00185,Water Tank,Plumbing,TON,4306.03,HIGH,52,72
MAT-0186,MAT-CODE-00186,Concrete,Civil,KG,4015.5,MEDIUM,6,79
MAT-0187,MAT-CODE-00187,Circuit Breaker,Electrical,SET,6710.66,MEDIUM,11,66
MAT-0188,MAT-CODE-00188,Distribution Board,Electrical,TON,1572.73,LOW,26,18
MAT-0189,MAT-CODE-00189,Water Pump,Plumbing,SET,1537.51,HIGH,82,34
MAT-0190,MAT-CODE-00190,Fire Alarm Panel,Fire Fighting,TON,5069.09,HIGH,38,52
MAT-0191,MAT-CODE-00191,Cooling Tower,HVAC,KG,23422.17,HIGH,71,44
MAT-0192,MAT-CODE-00192,Cooling Tower,HVAC,SET,2009.53,HIGH,46,10
MAT-0193,MAT-CODE-00193,Fan Coil Unit,HVAC,KG,33026.32,HIGH,5,98
MAT-0194,MAT-CODE-00194,Lighting Fixture,Electrical,TON,5603.0,HIGH,57,32
MAT-0195,MAT-CODE-00195,Transformer,Electrical,METER,12951.9,MEDIUM,38,58
MAT-0196,MAT-CODE-00196,Structural Steel,Civil,KG,5069.95,LOW,34,40
MAT-0197,MAT-CODE-00197,Water Pump,Plumbing,METER,708.42,LOW,62,3
MAT-0198,MAT-CODE-00198,Blocks,Civil,METER,4635.91,LOW,53,88
MAT-0199,MAT-CODE-00199,Cable,Electrical,SET,3271.67,LOW,19,6
MAT-0200,MAT-CODE-00200,Fire Extinguisher,Fire Fighting,METER,1793.83,LOW,10,95
MAT-0201,MAT-CODE-00201,Transformer,Electrical,SET,4854.59,MEDIUM,12,14
MAT-0202,MAT-CODE-00202,Cable,Electrical,TON,6158.32,HIGH,12,98
MAT-0203,MAT-CODE-00203,Drainage Fixture,Plumbing,KG,6561.12,CRITICAL,9,94
MAT-0204,MAT-CODE-00204,Cable,Electrical,KG,894.27,LOW,67,62
MAT-0205,MAT-CODE-00205,Fire Extinguisher,Fire Fighting,UNIT,3598.43,LOW,25,11
MAT-0206,MAT-CODE-00206,Rebar,Civil,KG,7933.71,HIGH,76,37
MAT-0207,MAT-CODE-00207,Structural Steel,Civil,UNIT,24059.28,HIGH,70,60
MAT-0208,MAT-CODE-00208,Structural Steel,Civil,UNIT,1370.57,HIGH,36,27
MAT-0209,MAT-CODE-00209,Ventilation Fan,HVAC,TON,8566.22,LOW,38,19
MAT-0210,MAT-CODE-00210,Lighting Fixture,Electrical,TON,20667.17,HIGH,49,53
MAT-0211,MAT-CODE-00211,Pipe,Plumbing,METER,2065.23,LOW,17,8
MAT-0212,MAT-CODE-00212,Concrete,Civil,TON,32279.09,MEDIUM,42,53
MAT-0213,MAT-CODE-00213,Circuit Breaker,Electrical,METER,4944.43,MEDIUM,14,19
MAT-0214,MAT-CODE-00214,Concrete,Civil,KG,6698.37,CRITICAL,35,55
MAT-0215,MAT-CODE-00215,Rebar,Civil,SET,11683.92,LOW,5,16
MAT-0216,MAT-CODE-00216,Concrete,Civil,METER,16322.61,MEDIUM,87,40
MAT-0217,MAT-CODE-00217,Fire Extinguisher,Fire Fighting,SET,7207.56,LOW,89,81
MAT-0218,MAT-CODE-00218,Pipe,Plumbing,KG,7923.03,LOW,62,34
MAT-0219,MAT-CODE-00219,Fire Fighting Pump,Fire Fighting,UNIT,46301.07,MEDIUM,72,6
MAT-0220,MAT-CODE-00220,Water Tank,Plumbing,TON,5602.83,LOW,49,44
MAT-0221,MAT-CODE-00221,Transformer,Electrical,KG,3805.37,LOW,89,87
MAT-0222,MAT-CODE-00222,Fan Coil Unit,HVAC,KG,3704.13,LOW,71,63
MAT-0223,MAT-CODE-00223,Fire Hose Reel,Fire Fighting,TON,1734.39,CRITICAL,30,72
MAT-0224,MAT-CODE-00224,Fire Hose Reel,Fire Fighting,TON,7660.35,MEDIUM,56,95
MAT-0225,MAT-CODE-00225,Fire Hose Reel,Fire Fighting,UNIT,7146.56,LOW,61,58
MAT-0226,MAT-CODE-00226,Ventilation Fan,HVAC,KG,3631.42,HIGH,68,66
MAT-0227,MAT-CODE-00227,Fan Coil Unit,HVAC,TON,18302.77,CRITICAL,34,40
MAT-0228,MAT-CODE-00228,Fire Alarm Panel,Fire Fighting,KG,5547.92,HIGH,66,90
MAT-0229,MAT-CODE-00229,Circuit Breaker,Electrical,KG,3247.13,MEDIUM,32,46
MAT-0230,MAT-CODE-00230,Fire Hose Reel,Fire Fighting,UNIT,9605.39,LOW,14,65
MAT-0231,MAT-CODE-00231,Water Tank,Plumbing,SET,20791.61,LOW,31,17
MAT-0232,MAT-CODE-00232,Drainage Fixture,Plumbing,SET,1770.39,LOW,17,13
MAT-0233,MAT-CODE-00233,Rebar,Civil,METER,6904.13,LOW,27,91
MAT-0234,MAT-CODE-00234,Blocks,Civil,METER,597.08,MEDIUM,69,95
MAT-0235,MAT-CODE-00235,Sprinkler,Fire Fighting,METER,13982.09,LOW,57,72
MAT-0236,MAT-CODE-00236,Structural Steel,Civil,METER,7983.73,HIGH,49,40
MAT-0237,MAT-CODE-00237,Drainage Fixture,Plumbing,METER,11000.31,MEDIUM,41,84
MAT-0238,MAT-CODE-00238,Rebar,Civil,METER,9882.95,MEDIUM,41,63
MAT-0239,MAT-CODE-00239,Rebar,Civil,KG,8455.69,LOW,82,32
MAT-0240,MAT-CODE-00240,Waterproofing Material,Civil,SET,4007.53,HIGH,23,76
MAT-0241,MAT-CODE-00241,Chiller,HVAC,TON,5709.25,MEDIUM,23,63
MAT-0242,MAT-CODE-00242,Cable,Electrical,METER,4214.62,MEDIUM,27,22
MAT-0243,MAT-CODE-00243,Drainage Fixture,Plumbing,KG,4627.39,HIGH,17,4
MAT-0244,MAT-CODE-00244,Circuit Breaker,Electrical,TON,4548.91,HIGH,63,77
MAT-0245,MAT-CODE-00245,Water Pump,Plumbing,KG,1972.63,MEDIUM,89,94
MAT-0246,MAT-CODE-00246,Air Handling Unit,HVAC,KG,2733.71,MEDIUM,28,98
MAT-0247,MAT-CODE-00247,Water Pump,Plumbing,KG,5228.69,LOW,71,48
MAT-0248,MAT-CODE-00248,Rebar,Civil,TON,1049.82,LOW,53,18
MAT-0249,MAT-CODE-00249,Chiller,HVAC,METER,10882.73,MEDIUM,46,79
MAT-0250,MAT-CODE-00250,Water Pump,Plumbing,SET,4595.91,CRITICAL,12,10
